genus_name,scientific_name,family_name,order_name,class_name,phylum_name,kingdom_name,infra_name,population,category
Aloeides,Aloeides dentatis,LYCAENIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,VU
Aloeides,Aloeides egerides,LYCAENIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,LC
Aloeides,Aloeides lutescens,LYCAENIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,VU
Aloeides,Aloeides carolynnae,LYCAENIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,VU
Aloeides,Aloeides kaplani,LYCAENIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,VU
Aloeides,Aloeides merces,LYCAENIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,VU
Aloeides,Aloeides nollothi,LYCAENIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,LC
Aloeides,Aloeides nubilus,LYCAENIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,EN
Aloeides,Aloeides pringlei,LYCAENIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,VU
Aloeides,Aloeides rossouwi,LYCAENIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,VU
Alona,Alona sketi,CHYDORIDAE,DIPLOSTRACA,BRANCHIOPODA,ARTHROPODA,ANIMALIA,,,VU
Alona,Alona hercegovinae,CHYDORIDAE,DIPLOSTRACA,BRANCHIOPODA,ARTHROPODA,ANIMALIA,,,VU
Alona,Alona smirnovi,CHYDORIDAE,DIPLOSTRACA,BRANCHIOPODA,ARTHROPODA,ANIMALIA,,,VU
Vulpes,Vulpes lagopus,CANIDAE,CARNIVORA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Alopia,Alopia bielzii ssp. clathrata,CLAUSILIIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,clathrata,,LR/nt
Alosa,Alosa alosa,CLUPEIDAE,CLUPEIFORMES,ACTINOPTERYGII,CHORDATA,ANIMALIA,,,LC
Alosa,Alosa fallax,CLUPEIDAE,CLUPEIFORMES,ACTINOPTERYGII,CHORDATA,ANIMALIA,,,LC
Alosa,Alosa macedonica,CLUPEIDAE,CLUPEIFORMES,ACTINOPTERYGII,CHORDATA,ANIMALIA,,,VU
Alosa,Alosa maeotica,CLUPEIDAE,CLUPEIFORMES,ACTINOPTERYGII,CHORDATA,ANIMALIA,,,LC
Alosa,Alosa immaculata,CLUPEIDAE,CLUPEIFORMES,ACTINOPTERYGII,CHORDATA,ANIMALIA,,,VU
Alosa,Alosa alabamae,CLUPEIDAE,CLUPEIFORMES,ACTINOPTERYGII,CHORDATA,ANIMALIA,,,DD
Alouatta,Alouatta pigra,ATELIDAE,PRIMATES,MAMMALIA,CHORDATA,ANIMALIA,,,EN
Alouatta,Alouatta ululata,ATELIDAE,PRIMATES,MAMMALIA,CHORDATA,ANIMALIA,,,EN
Alouatta,Alouatta palliata ssp. aequatorialis,ATELIDAE,PRIMATES,MAMMALIA,CHORDATA,ANIMALIA,aequatorialis,,VU
Alouatta,Alouatta seniculus ssp. juara,ATELIDAE,PRIMATES,MAMMALIA,CHORDATA,ANIMALIA,juara,,LC
Alouatta,Alouatta palliata ssp. mexicana,ATELIDAE,PRIMATES,MAMMALIA,CHORDATA,ANIMALIA,mexicana,,CR
Alsodes,Alsodes barrioi,ALSODIDAE,ANURA,AMPHIBIA,CHORDATA,ANIMALIA,,,EN
Alsodes,Alsodes montanus,ALSODIDAE,ANURA,AMPHIBIA,CHORDATA,ANIMALIA,,,VU
Alsodes,Alsodes nodosus,ALSODIDAE,ANURA,AMPHIBIA,CHORDATA,ANIMALIA,,,NT
Alsodes,Alsodes vanzolinii,ALSODIDAE,ANURA,AMPHIBIA,CHORDATA,ANIMALIA,,,CR
Alsophis,Alsophis antiguae,DIPSADIDAE,SQUAMATA,REPTILIA,CHORDATA,ANIMALIA,,,CR
